[SYS] 2026/06/09 - 15:13:49 | initializing token encoders 
[SYS] 2026/06/09 - 15:13:49 | token encoders initialized 
[SYS] 2026/06/09 - 15:13:49 | using SQLite as database 
[SYS] 2026/06/09 - 15:13:49 | database migration started 
[SYS] 2026/06/09 - 15:13:49 | system is already initialized at: 2026-03-24 08:57:55 +0800 CST 
[SYS] 2026/06/09 - 15:13:49 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/06/09 - 15:13:49 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/06/09 - 15:13:49 | New API v0.0.0 started 
[SYS] 2026/06/09 - 15:13:49 | 正在更新数据看板数据... 
[INFO] 2026/06/09 - 15:13:49 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/06/09 - 15:13:49 | upstream model update task started: interval=30m0s 
[SYS] 2026/06/09 - 15:13:49 | 保存数据看板数据成功，共保存0条数据 

  [32mNew API v0.0.0[0m  ready in 248 ms

  ➜  [1mLocal:[0m   http://localhost:3000/
  ➜  [1mNetwork:[0m http://192.168.10.35:3000/

[SYS] 2026/06/09 - 15:13:50 | upstream model update check failed: channel_id=9 channel_name=axa err=Get "https://api.axa.us.ci/v1/models": read tcp 127.0.0.1:16836->127.0.0.1:7890: wsarecv: An existing connection was forcibly closed by the remote host. 
[SYS] 2026/06/09 - 15:13:50 | upstream model update check failed: channel_id=18 channel_name=grok2api err=Get "https://vibe.grok2api.us.ci/v1/models": EOF 
[GIN] 2026/06/09 - 15:14:27 | web | 202606090714278464397008268d9d6pqmaKlIa | 200 |      4.9324ms |       127.0.0.1 |     GET /assets/tools-C0EboDDl.js
[GIN] 2026/06/09 - 15:14:27 | web | 202606090714278458551008268d9d6XOsieL3r | 200 |      7.5173ms |       127.0.0.1 |     GET /assets/i18n-DiWaxoG1.js
[GIN] 2026/06/09 - 15:14:27 | web | 202606090714278437087008268d9d6WPF14epl | 200 |     17.6283ms |       127.0.0.1 |     GET /assets/react-core-CrhRkQo_.js
[GIN] 2026/06/09 - 15:14:27 | web | 202606090714278523722008268d9d69Rnzkq2t | 200 |     24.9097ms |       127.0.0.1 |     GET /assets/semi-ui-yRXI6evF.css
[GIN] 2026/06/09 - 15:14:27 | web | 202606090714278553722008268d9d68ElORxZX | 200 |      28.122ms |       127.0.0.1 |     GET /assets/index-DhuUyEKc.css
[GIN] 2026/06/09 - 15:14:27 | web | 202606090714278464397008268d9d6X1VcsGWG | 200 |     93.3622ms |       127.0.0.1 |     GET /assets/semi-ui-CuYQJcLe.js
[GIN] 2026/06/09 - 15:14:27 | web | 202606090714278421511008268d9d6Xun046X7 | 200 |     122.719ms |       127.0.0.1 |     GET /assets/index-BPNcEPvz.js
[GIN] 2026/06/09 - 15:14:28 | api | 202606090714282565728008268d9d6Xex0eVHK | 200 |      1.0735ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 15:14:28 | api | 202606090714282571236008268d9d6jW4DQVhH | 200 |      1.6335ms |       127.0.0.1 |     GET /api/channel/models
[GIN] 2026/06/09 - 15:14:28 | api | 202606090714282643470008268d9d642YmMMYs | 200 |            0s |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/09 - 15:14:28 | api | 202606090714282623469008268d9d6sPK7mOEn | 200 |      2.9997ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true
[GIN] 2026/06/09 - 15:14:28 | api | 202606090714282643470008268d9d6TKpt5NjY | 200 |       999.6µs |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/09 - 15:14:28 | web | 202606090714282898546008268d9d6kr4Eaiwi | 200 |            0s |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/09 - 15:14:28 | api | 202606090714282643470008268d9d6OLYaViCi | 200 |     27.5039ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 15:14:28 | web | 202606090714282993309008268d9d6YVgQT25v | 200 |            0s |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/09 - 15:14:28 | api | 202606090714283785006008268d9d6h5mPrXBG | 200 |       538.4µs |       127.0.0.1 |     GET /api/user/self
